english,russian
Coincidence,Совпадение
Cold,Простуда
Collaborate,Сотрудничать
Collapse,"Обрушиться, сложиться"
Collar,Воротник или ошейник
Collect,Собирать
Collide,Сталкиваться
Colon,Двоеточие
Colonel,Полковник
Column,"Столб, колонна"
Comb,"Расческа, причёсывать"
Combat,Бой
Combine,Соединять(ся)
Come about,Произойти
Come across,Встретить (случайно)
Come along,Идти вместе
Come along,Продвигаться (о работе)
Come by,"Найти, заполучить"
Come by,Зайти
Come down,Сводиться
Come from,Быть из
Come into,Унаследовать
Come off,"Выйти, получиться"
Come off,Отвалиться
Come on,Включаться
Come out,"Выступить, заявить"
Come out,Выходить (напр. об альбоме)
Come over,Заходить (в гости)
Come through,"Пережить, перенести"
Come to,Очнуться
Come to,Доходить до
Come to life,"Оживать, приходить в себя"
Come true,Сбываться
Come under,Подвегрнуться
Come up,Произойти или появиться
Come up,Приближаться (о событии)
Come up to,Подойти к кому-л.
Come up with,Придумать
Come with,Прилагаться
Comedian,Комик
Comfort,"Утешать, утешение"
Commemorate,"Отметить, почтить"
Commence,Начинать
Commend,Высоко оценивать
Commercial,Реклама (на тв)
Commission,"Поручение, полномочие"
Commit,Совершить (напр. ошибку)
Commitment,Приверженность
Commitment,Обязательство
Commodity,"Товар, сырьё"
Commonplace,"Обычное дело, банальность"
Commonwealth,Содружество
Communicate,Общаться
Commute,"Ходить, курсировать"
Compact,Договор
Compare,Сравнить
Comparison,Сравнение
Compartment,"Отсек, отделение, купе"
Compassion,"Сочуствие, сострадание"
Compatible,Совместимый
Compel,"Вынуждать, заставлять"
Compete,Соперничать
Complain,Жаловаться
Complement,"Допонять, дополнение"
Complement,"Набор, состав, комплект"
Complete,"Завершить, выполнить"
Complex,Сложный
Complicate,Усложнять
Comply,"Соблюдать, соответствовать"
Compose,"Составлять, сочинять"
Compound,"Состав, составной"
Comprehend,"Понять, вникнуть"
Comprehensive,"Исчерпывающий, всесторонний"
Compress,"Сжимать, прессовать"
Comprise,"Состоять из, охватывать"
Compulsory,"Принудительный, обязательный"
Comrade,Товарищ
Conceal,Скрывать
Concede,Уступить
Conceive,"Помыслить, представить"
Concept,"Понятие, идея"
Concern,"Забота, тревожить"
Conclude,"Заключать, завершать"
Concrete,"Бетон, бетонировать"
Concur,Соглашаться
Condemn,Осуждать
Condition,Состояние
Condition,Условие
Conduct,"Вести, поведение"
Cone,Конус
Confer,"Дать, принести, присудить"
Confer,Совещаться
Confess,Признаваться
Confide,"Доверить, вверить"
Confident,Уверенный
Confine,Ограничить (ся)
Confirm,Подтвердить
Conform,Соответствовать
Confront,"Противостоять, сталкиваться"
Confuse,Путать
Congestion,"Загруженность, запор"
Congratulate,Поздравлять
Conjunction,"Соединение, связь"
Connect,Соединять
Conquer,Завоевать
Conquest,Завоевание
Conscience,"Совесть, сознательность"
Conscious,"Сознательный, сознающий"
Consecutive,Последующий по времени
Consent,"Согласие, разрешение"
Consequence,Последствие
Consequent,"Последующий, вытекающий"
Conserve,"Беречь, экономить"
Considerable,"Крупный, значительный"
Consist of,Состоять (из)
Consistent,Последовательный
Console,Утешать
Conspicuous,Заметный
Conspire,Сговариваться
Constant,Постоянный
Constellation,Созвездие
Constitute,"Составлять, образовывать"
Constrain,Ограничивать (препятствием)
Construct,Соорудить
Construction (site),Стройка
Consult,Советоваться
Consume,Потреблять
Contain,Содержать
Contaminate,Загрязнять
Contemplate,Созерцать или размышлять
Contemporary,"Современный, современник"
Contempt,"Презрение, презирать"
Contend,"Бороться, соперничать"
Content,Содержимое
Content with,"Довольный, довольство"
Contest,"Соревнование, конкурс"
Contingency,Непредвиденные обстоятельства
Contradict,Противоречить
Contrary,"Противоположный, вопреки"
Contribute,"Способствовать, вносить вклад"
Controversy,"Спор, разногласие, дискуссия"
Convene,"Созывать, собирать"
Convenient,Удобный
Conventional,"Стандартный, общепринятый"
Converge,"Сходиться, сближаться"
Converse,Разговаривать
Convert,Преобразовывать
Convey,"Перевозить, передавать"
Convict,"Осуждённый, осуждать"
Conviction,"Убеждение, убеждённость"
Convince,Убеждать
Cookie,Печенье
Cool,"Прохладный, свежий"
Cool down,Остыть
Cooperate,Сотрудничать
Cope with,"Совладать, справиться"
Copper,Медь
Cord,"Верёвка, шнур"
Core,"Ядро, сердцевина, сущность"
Cork,Пробка
Corn,"Кукуруза, зерно"
Corner,Угол
Corps,Корпус
Corpse,Труп
Correct,"Правильный, исправлять"
Correlate,Соотносить
Correspond,Соответствовать
Corrupt,"Развращать, разлагать"
"Cost (cost, cost)","Стоить, стоимость"
Cotton,Хлопок
Couch,Диван
Cough,Кашель
Counsel,"Совет, консультация"
Count,"Считаться, иметь значение"
Count,Считать
Count on,Рассчитывать на
Counter,"Противостоять, противоположный"
Counter,"Стойка, прилавок"
Counterfeit,"Подделка, фальшивый"
Counterpart,"Аналог, коллега, и т. д."
Countryside,Сельская местность
Coup,Переворот
Courage,Мужество
Courtesy,"Учтивость, этикет"
Courtyard,Внутренний двор
Cover,"Накрывать, покрывать"
Coverage,Освещение
Covet,"Желать, вожделеть"
Coward,Трус
Co-worker,Сотрудник
Cozy,Уютный
Crack,"Трескаться, трещина"
Crackle,Потрескивание
Cradle,Колыбель
Craft,"Ремесло, мастерство"
Cram,"Втискивать, впихивать"
Cramp,Судорога
Crane,Подъёмный кран
Crank,"Чудак, фрик"
Crap,Дерьмо
Crash,"Горохот, крушение, разбивать и т. д."
Crate,Ящик
Crave,"Желать, жаждать, требовать"
